2019-04-09 14:50:20 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 install libaudit1:arm64 <none> 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 status half-installed libaudit1:arm64 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2019-04-09 14:50:20 install libblkid1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-09 14:50:20 status half-installed libblkid1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:20 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:20 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2019-04-09 14:50:21 install libbz2-1.0:arm64 <none> 1.0.6-8.1
2019-04-09 14:50:21 status half-installed libbz2-1.0:arm64 1.0.6-8.1
2019-04-09 14:50:21 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2019-04-09 14:50:21 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2019-04-09 14:50:21 install libc-bin:arm64 <none> 2.27-3ubuntu1
2019-04-09 14:50:21 status half-installed libc-bin:arm64 2.27-3ubuntu1
2019-04-09 14:50:21 status unpacked libc-bin:arm64 2.27-3ubuntu1
2019-04-09 14:50:21 status unpacked libc-bin:arm64 2.27-3ubuntu1
2019-04-09 14:50:22 upgrade libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2019-04-09 14:50:22 status half-configured libc6:arm64 2.27-3ubuntu1
2019-04-09 14:50:22 status unpacked libc6:arm64 2.27-3ubuntu1
2019-04-09 14:50:22 status half-installed libc6:arm64 2.27-3ubuntu1
2019-04-09 14:50:24 status half-installed libc6:arm64 2.27-3ubuntu1
2019-04-09 14:50:24 status unpacked libc6:arm64 2.27-3ubuntu1
2019-04-09 14:50:24 status unpacked libc6:arm64 2.27-3ubuntu1
2019-04-09 14:50:24 install libcap-ng0:arm64 <none> 0.7.7-3.1
2019-04-09 14:50:24 status half-installed libcap-ng0:arm64 0.7.7-3.1
2019-04-09 14:50:24 status unpacked libcap-ng0:arm64 0.7.7-3.1
2019-04-09 14:50:24 status unpacked libcap-ng0:arm64 0.7.7-3.1
2019-04-09 14:50:25 install libcom-err2:arm64 <none> 1.44.1-1
2019-04-09 14:50:25 status half-installed libcom-err2:arm64 1.44.1-1
2019-04-09 14:50:25 status unpacked libcom-err2:arm64 1.44.1-1
2019-04-09 14:50:25 status unpacked libcom-err2:arm64 1.44.1-1
2019-04-09 14:50:25 install libdb5.3:arm64 <none> 5.3.28-13.1ubuntu1
2019-04-09 14:50:25 status half-installed libdb5.3:arm64 5.3.28-13.1ubuntu1
2019-04-09 14:50:25 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2019-04-09 14:50:25 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2019-04-09 14:50:25 install libdebconfclient0:arm64 <none> 0.213ubuntu1
2019-04-09 14:50:25 status half-installed libdebconfclient0:arm64 0.213ubuntu1
2019-04-09 14:50:25 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2019-04-09 14:50:25 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2019-04-09 14:50:26 install libext2fs2:arm64 <none> 1.44.1-1
2019-04-09 14:50:26 status half-installed libext2fs2:arm64 1.44.1-1
2019-04-09 14:50:26 status unpacked libext2fs2:arm64 1.44.1-1
2019-04-09 14:50:26 status unpacked libext2fs2:arm64 1.44.1-1
